file-010705.dat file-018439.dat
file-005402.dat file-003527.dat
file-017377.dat file-019572.dat
file-007260.dat file-004318.dat
file-010847.dat file-001004.dat
file-003586.dat file-002157.dat
file-010001.dat file-019991.dat
file-009208.dat file-002279.dat
file-013988.dat file-015955.dat
file-014741.dat file-011488.dat
file-011948.dat file-020175.dat
file-017156.dat file-017439.dat
file-014874.dat file-003261.dat
file-008501.dat file-012156.dat
file-014393.dat file-010915.dat
file-005282.dat file-016651.dat
file-015100.dat file-001787.dat
file-006346.dat file-006732.dat
file-019072.dat file-016605.dat
file-008898.dat file-002483.dat
file-017000.dat file-018539.dat
file-007851.dat file-006566.dat
file-013839.dat file-012379.dat
file-008289.dat file-003010.dat
file-002617.dat file-002316.dat
file-011305.dat file-000680.dat
file-006039.dat file-007382.dat
file-012614.dat file-000691.dat
file-006463.dat file-000575.dat
file-010059.dat file-017270.dat
file-017927.dat file-007962.dat
file-012691.dat file-000999.dat
file-013370.dat file-006789.dat
file-007966.dat file-019863.dat
file-018406.dat file-005185.dat
file-019937.dat file-007580.dat
file-003359.dat file-008748.dat
file-002692.dat file-017740.dat
file-017407.dat file-012896.dat
file-009293.dat file-015267.dat
file-018121.dat file-012303.dat
file-002728.dat file-013675.dat
file-001331.dat file-006581.dat
file-001101.dat file-010656.dat
file-015891.dat file-008958.dat
file-011928.dat file-016175.dat
file-004908.dat file-007564.dat
file-020102.dat file-017039.dat
file-003385.dat file-005568.dat
file-010043.dat file-017903.dat
file-006586.dat file-007082.dat
file-017904.dat file-012783.dat
file-011330.dat file-002044.dat
file-005938.dat file-011157.dat
file-019854.dat file-010573.dat
file-012246.dat file-001589.dat
file-009818.dat file-017877.dat
file-019385.dat file-009326.dat
file-011903.dat file-002352.dat
file-012068.dat file-000760.dat
file-017389.dat file-009126.dat
file-005501.dat file-013680.dat
file-005299.dat file-020137.dat
file-005908.dat file-004208.dat
file-012379.dat file-004460.dat
file-001814.dat file-006645.dat
file-004402.dat file-012609.dat
file-016133.dat file-014886.dat
file-018787.dat file-015518.dat
file-008444.dat file-007007.dat
file-007209.dat file-013267.dat
file-007116.dat file-008680.dat
file-009921.dat file-008566.dat
file-004662.dat file-015660.dat
file-018166.dat file-002366.dat
file-013390.dat file-003863.dat
file-007696.dat file-004215.dat
file-007442.dat file-006431.dat
file-002751.dat file-014995.dat
file-010886.dat file-010843.dat
file-014186.dat file-007463.dat
file-001126.dat file-007100.dat
file-013969.dat file-010228.dat
file-008893.dat file-008208.dat
file-015797.dat file-000602.dat
file-014729.dat file-004208.dat
file-019016.dat file-004729.dat
file-006217.dat file-017083.dat
file-006337.dat file-006476.dat
file-015043.dat file-010456.dat
file-015910.dat file-001957.dat
file-003701.dat file-007839.dat
file-004024.dat file-006639.dat
file-000080.dat file-001911.dat
file-004032.dat file-015730.dat
file-007644.dat file-014684.dat
file-014274.dat file-000760.dat
file-009504.dat file-005846.dat
file-015641.dat file-016684.dat
file-006184.dat file-010532.dat
file-014032.dat file-008010.dat
file-006322.dat file-016528.dat
file-013308.dat file-018171.dat
file-015153.dat file-016817.dat
file-016145.dat file-008867.dat
file-002802.dat file-012084.dat
file-005799.dat file-006894.dat
file-008283.dat file-004658.dat
file-012714.dat file-017866.dat
file-007678.dat file-001417.dat
file-015591.dat file-012369.dat
file-019141.dat file-001140.dat
file-007136.dat file-011049.dat
file-000906.dat file-014368.dat
file-012710.dat file-015939.dat
file-003720.dat file-003340.dat
file-013016.dat file-003409.dat
file-011886.dat file-018435.dat
file-007226.dat file-016548.dat
file-000090.dat file-012917.dat
file-009166.dat file-020098.dat
file-018508.dat file-001789.dat
file-004377.dat file-011886.dat
file-019326.dat file-000420.dat
file-005098.dat file-002313.dat
file-008032.dat file-007608.dat
file-016583.dat file-019993.dat
file-011796.dat file-019722.dat
file-005400.dat file-017038.dat
file-001505.dat file-002675.dat
file-018771.dat file-019343.dat
file-003670.dat file-020050.dat
file-003691.dat file-008789.dat
file-004763.dat file-013933.dat
file-016655.dat file-019482.dat
file-008834.dat file-019109.dat
file-014060.dat file-007271.dat
file-018519.dat file-009303.dat
file-010391.dat file-013000.dat
file-010621.dat file-000073.dat
file-018412.dat file-003514.dat
file-015812.dat file-013048.dat
file-001957.dat file-014862.dat
file-017279.dat file-013266.dat
file-006514.dat file-006969.dat
file-014571.dat file-010769.dat
file-007720.dat file-004419.dat
file-000041.dat file-009959.dat
file-004790.dat file-019703.dat
file-001906.dat file-020228.dat
file-002066.dat file-009964.dat
file-018654.dat file-008865.dat
file-001163.dat file-013094.dat
file-015924.dat file-012170.dat
file-006855.dat file-004671.dat
file-001783.dat file-006549.dat
file-000617.dat file-015214.dat
file-010116.dat file-013004.dat
file-012392.dat file-001125.dat
file-009637.dat file-000542.dat
file-001100.dat file-014180.dat
file-006863.dat file-018250.dat
file-006551.dat file-016334.dat
file-000844.dat file-013385.dat
file-000842.dat file-006748.dat
file-003168.dat file-010808.dat
file-009061.dat file-009101.dat
file-017437.dat file-008839.dat
file-011410.dat file-018109.dat
file-003127.dat file-009731.dat
file-006039.dat file-008530.dat
file-009776.dat file-012939.dat
file-015808.dat file-007983.dat
file-012900.dat file-013043.dat
file-011773.dat file-004377.dat
file-010977.dat file-002799.dat
file-006331.dat file-017174.dat
file-016882.dat file-005205.dat
file-001162.dat file-001261.dat
file-015193.dat file-016953.dat
file-007517.dat file-014180.dat
file-002319.dat file-008567.dat
file-019068.dat file-005464.dat
file-010751.dat file-019188.dat
file-017898.dat file-002165.dat
file-011329.dat file-000799.dat
file-008676.dat file-010821.dat
file-017963.dat file-014242.dat
file-010398.dat file-005589.dat
file-000541.dat file-017687.dat
file-015305.dat file-018691.dat
file-011887.dat file-016067.dat
file-009660.dat file-017727.dat
file-000659.dat file-009037.dat
file-002905.dat file-017426.dat
file-005031.dat file-002417.dat
file-005029.dat file-010913.dat
file-014544.dat file-001348.dat
file-003212.dat file-017292.dat
file-004591.dat file-007736.dat
file-004306.dat file-003843.dat
file-014603.dat file-009710.dat
file-013416.dat file-007123.dat
file-019501.dat file-020010.dat
file-002588.dat file-001110.dat
file-010328.dat file-016155.dat
file-019993.dat file-003544.dat
file-019949.dat file-014134.dat
file-001154.dat file-013753.dat
file-018181.dat file-014930.dat
file-011728.dat file-006710.dat
file-019104.dat file-013785.dat
file-001987.dat file-007060.dat
file-016796.dat file-011264.dat
file-004866.dat file-014742.dat
file-003408.dat file-014016.dat
file-009827.dat file-003589.dat
file-007800.dat file-016202.dat
file-003797.dat file-004654.dat
file-011428.dat file-002534.dat
file-010097.dat file-008878.dat
file-019455.dat file-017895.dat
file-019071.dat file-005834.dat
file-012252.dat file-003290.dat
file-002873.dat file-018690.dat
file-000923.dat file-019920.dat
file-006520.dat file-018433.dat
file-019061.dat file-016475.dat
file-010429.dat file-007810.dat
file-018208.dat file-011480.dat
file-015272.dat file-007448.dat
file-008576.dat file-011597.dat
file-009179.dat file-000236.dat
file-013690.dat file-013048.dat
file-014164.dat file-010259.dat
file-008899.dat file-015134.dat
file-014415.dat file-007189.dat
file-013684.dat file-018953.dat
file-017848.dat file-018239.dat
file-002156.dat file-006180.dat
file-001116.dat file-015882.dat
file-009130.dat file-000231.dat
file-019888.dat file-017939.dat
file-008327.dat file-017464.dat
file-016586.dat file-016184.dat
file-002256.dat file-005129.dat
file-016816.dat file-017508.dat
file-015989.dat file-009623.dat
file-004513.dat file-006899.dat
file-016617.dat file-014451.dat
file-015128.dat file-014297.dat
file-013789.dat file-008548.dat
file-019707.dat file-008755.dat
file-002063.dat file-012497.dat
file-011548.dat file-004151.dat
file-005120.dat file-007817.dat
file-020025.dat file-005090.dat
file-000225.dat file-010005.dat
file-002906.dat file-018923.dat
file-018549.dat file-006616.dat
file-017994.dat file-002457.dat
file-001004.dat file-018326.dat
file-008224.dat file-006912.dat
file-005337.dat file-012251.dat
file-013824.dat file-018272.dat
file-019899.dat file-018478.dat
file-007305.dat file-016995.dat
file-007490.dat file-007114.dat
file-015277.dat file-016607.dat
file-019352.dat file-017908.dat
file-018764.dat file-019544.dat
file-007445.dat file-017334.dat
file-000979.dat file-008891.dat
file-017835.dat file-004944.dat
file-009961.dat file-004667.dat
file-008176.dat file-014694.dat
file-000498.dat file-001497.dat
file-010684.dat file-012851.dat
file-018942.dat file-007701.dat
file-011725.dat file-018904.dat
file-020241.dat file-015559.dat
file-018697.dat file-015576.dat
file-015746.dat file-013634.dat
file-008685.dat file-013578.dat
file-013632.dat file-015151.dat
file-017751.dat file-001993.dat
file-007938.dat file-001934.dat
file-003681.dat file-019679.dat
file-005335.dat file-013318.dat
file-014443.dat file-014121.dat
file-011628.dat file-016892.dat
file-007572.dat file-005914.dat
file-012325.dat file-003604.dat
file-006835.dat file-012152.dat
file-016461.dat file-015167.dat
file-015458.dat file-015148.dat
file-008605.dat file-016375.dat
file-012168.dat file-014650.dat
file-006665.dat file-004433.dat
file-001602.dat file-004864.dat
file-001135.dat file-003486.dat
file-013363.dat file-011213.dat
file-014563.dat file-010260.dat
file-001908.dat file-003477.dat
file-019989.dat file-018317.dat
file-019729.dat file-007009.dat
file-006883.dat file-018344.dat
file-004719.dat file-014844.dat
file-011974.dat file-019219.dat
file-009643.dat file-016861.dat
file-007789.dat file-011131.dat
file-016927.dat file-000169.dat
file-002502.dat file-016674.dat
file-005068.dat file-019439.dat
file-009135.dat file-002800.dat
file-016283.dat file-004870.dat
file-007803.dat file-000201.dat
file-011476.dat file-016942.dat
file-017062.dat file-012696.dat
file-008816.dat file-000310.dat
file-012656.dat file-008732.dat
file-002713.dat file-005357.dat
file-012626.dat file-018595.dat
file-004687.dat file-005694.dat
file-012110.dat file-006097.dat
file-016761.dat file-009828.dat
file-003615.dat file-016273.dat
file-018680.dat file-001033.dat
file-006872.dat file-006621.dat
file-016711.dat file-014882.dat
file-018288.dat file-016831.dat
file-012263.dat file-020141.dat
file-013578.dat file-012607.dat
file-016813.dat file-017532.dat
file-001837.dat file-018641.dat
file-013133.dat file-017218.dat
file-008022.dat file-018121.dat
file-002618.dat file-016977.dat
file-012005.dat file-001205.dat
file-003788.dat file-010743.dat
file-013394.dat file-019101.dat
file-007667.dat file-000440.dat
file-004002.dat file-001946.dat
file-000333.dat file-013637.dat
file-015277.dat file-011567.dat
file-002154.dat file-013772.dat
file-010566.dat file-004638.dat
file-004394.dat file-004323.dat
file-011768.dat file-005012.dat
file-002517.dat file-019160.dat
file-004180.dat file-003649.dat
file-005816.dat file-001486.dat
file-016119.dat file-018074.dat
file-015935.dat file-001706.dat
file-017961.dat file-013488.dat
file-014195.dat file-003808.dat
file-011394.dat file-008722.dat
file-016277.dat file-000435.dat
file-007815.dat file-004488.dat
file-003588.dat file-015202.dat
file-017679.dat file-017063.dat
file-017916.dat file-011807.dat
file-003428.dat file-005064.dat
file-007692.dat file-018452.dat
file-008435.dat file-016149.dat
file-009613.dat file-017776.dat
file-017930.dat file-015302.dat
file-011021.dat file-007313.dat
file-020239.dat file-003699.dat
file-019156.dat file-004011.dat
file-015483.dat file-008592.dat
file-018730.dat file-020163.dat
file-016766.dat file-009074.dat
file-006328.dat file-003633.dat
file-017574.dat file-009883.dat
file-005817.dat file-005796.dat
file-007307.dat file-017136.dat
file-003099.dat file-005824.dat
file-002814.dat file-003755.dat
file-009389.dat file-014009.dat
file-006889.dat file-018629.dat
file-018025.dat file-012490.dat
file-013732.dat file-005494.dat
file-019503.dat file-013601.dat
file-005029.dat file-019873.dat
file-017415.dat file-007427.dat
file-000279.dat file-004794.dat
file-007930.dat file-019407.dat
file-016714.dat file-001186.dat
file-015442.dat file-004623.dat
file-017562.dat file-013397.dat
file-016333.dat file-011290.dat
file-019024.dat file-002791.dat
file-005275.dat file-014214.dat
file-012493.dat file-013345.dat
file-008227.dat file-019428.dat
file-004667.dat file-007404.dat
file-001707.dat file-003677.dat
file-015768.dat file-013952.dat
file-011171.dat file-009153.dat
file-017780.dat file-019665.dat
file-010160.dat file-005601.dat
file-001121.dat file-009611.dat
file-002559.dat file-020078.dat
file-016115.dat file-011381.dat
file-002406.dat file-007528.dat
file-014008.dat file-007700.dat
file-000430.dat file-007370.dat
file-008634.dat file-011741.dat
file-012419.dat file-013340.dat
file-017029.dat file-009488.dat
file-005867.dat file-000594.dat
file-016851.dat file-002594.dat
file-015391.dat file-000028.dat
file-001045.dat file-006615.dat
file-016803.dat file-010783.dat
file-012696.dat file-014329.dat
file-017571.dat file-005821.dat
file-019011.dat file-009992.dat
file-003274.dat file-004349.dat
file-012507.dat file-016198.dat
file-008617.dat file-001913.dat
file-016134.dat file-016125.dat
file-011303.dat file-004547.dat
file-005762.dat file-017462.dat
file-008191.dat file-017618.dat
file-009558.dat file-001551.dat
file-005738.dat file-017567.dat
file-013432.dat file-007959.dat
file-002325.dat file-006856.dat
file-007173.dat file-005713.dat
file-001714.dat file-018939.dat
file-014261.dat file-004672.dat
file-008237.dat file-000323.dat
file-005197.dat file-003038.dat
file-013170.dat file-015886.dat
file-001632.dat file-014403.dat
file-014342.dat file-019895.dat
file-014677.dat file-005209.dat
file-018705.dat file-010923.dat
file-001363.dat file-001614.dat
file-011339.dat file-002033.dat
file-003910.dat file-017851.dat
file-010440.dat file-003470.dat
file-004459.dat file-002058.dat
file-007945.dat file-017584.dat
file-000124.dat file-017392.dat
file-019930.dat file-003171.dat
file-018648.dat file-001550.dat
file-010506.dat file-004132.dat
file-001834.dat file-015774.dat
file-003014.dat file-013232.dat
file-013357.dat file-007001.dat
file-019789.dat file-013279.dat
file-003103.dat file-009809.dat
file-001297.dat file-014893.dat
file-014102.dat file-016153.dat
file-008289.dat file-015472.dat
file-019691.dat file-000544.dat
file-006855.dat file-010730.dat
file-015685.dat file-015735.dat
file-011596.dat file-018647.dat
file-004069.dat file-000895.dat
file-008399.dat file-003919.dat
file-015632.dat file-005661.dat
file-000154.dat file-009278.dat
file-017276.dat file-011270.dat
file-003964.dat file-012978.dat
file-011053.dat file-013261.dat
file-005055.dat file-015884.dat
file-013603.dat file-005096.dat
file-019686.dat file-013478.dat
file-019403.dat file-010307.dat
file-013319.dat file-010046.dat
file-006438.dat file-013870.dat
file-005435.dat file-011265.dat
file-005590.dat file-014760.dat
file-003114.dat file-009887.dat
file-019750.dat file-007891.dat
file-013325.dat file-018860.dat
file-008977.dat file-006823.dat
file-004934.dat file-018941.dat
file-013161.dat file-005303.dat
file-007669.dat file-010558.dat
file-002558.dat file-019559.dat
file-017168.dat file-003953.dat
file-016372.dat file-010042.dat
file-011294.dat file-017290.dat
file-000973.dat file-016500.dat
file-007685.dat file-019198.dat
file-009355.dat file-016876.dat
file-018706.dat file-019175.dat
file-007523.dat file-004137.dat
file-018850.dat file-016670.dat
file-012492.dat file-010973.dat
file-013773.dat file-016497.dat
file-012435.dat file-008879.dat
file-018671.dat file-001317.dat
file-004257.dat file-013359.dat
file-000066.dat file-011669.dat
file-015660.dat file-018483.dat
file-001235.dat file-002355.dat
file-000660.dat file-007731.dat
file-018377.dat file-008295.dat
file-007453.dat file-001003.dat
file-003878.dat file-003202.dat
file-017187.dat file-016206.dat
file-009684.dat file-018735.dat
file-004476.dat file-006432.dat
file-018095.dat file-017957.dat
file-000466.dat file-006776.dat
file-017985.dat file-001856.dat
file-003045.dat file-008642.dat
file-011428.dat file-002928.dat
file-000562.dat file-018131.dat
file-020240.dat file-009606.dat
file-003039.dat file-008694.dat
file-019806.dat file-012364.dat
file-010677.dat file-017076.dat
file-007945.dat file-001772.dat
file-008230.dat file-000607.dat
file-018116.dat file-019752.dat
file-013840.dat file-001834.dat
file-006817.dat file-002167.dat
file-016569.dat file-018619.dat
file-004256.dat file-010699.dat
file-010244.dat file-000086.dat
file-018917.dat file-009777.dat
file-013447.dat file-004158.dat
file-006330.dat file-005170.dat
file-018192.dat file-004023.dat
file-019822.dat file-004172.dat
file-006961.dat file-011823.dat
file-016195.dat file-008749.dat
file-012255.dat file-004222.dat
file-006215.dat file-005926.dat
file-019642.dat file-013293.dat
file-006724.dat file-018430.dat
file-009791.dat file-007518.dat
file-013436.dat file-006315.dat
file-007059.dat file-008801.dat
file-007948.dat file-018291.dat
file-007842.dat file-005441.dat
file-012671.dat file-006074.dat
file-000187.dat file-005529.dat
file-001479.dat file-003256.dat
file-019746.dat file-002672.dat
file-000545.dat file-011141.dat
file-004159.dat file-019555.dat
file-015529.dat file-006476.dat
file-007990.dat file-006532.dat
file-009743.dat file-010816.dat
file-017267.dat file-002128.dat
file-014689.dat file-011980.dat
file-000984.dat file-012797.dat
file-006142.dat file-017019.dat
file-019624.dat file-010939.dat
file-010924.dat file-005166.dat
file-004603.dat file-011294.dat
file-014662.dat file-019047.dat
file-008347.dat file-014420.dat
file-017492.dat file-008758.dat
file-002347.dat file-008508.dat
file-005839.dat file-015621.dat
file-000831.dat file-002510.dat
file-008173.dat file-012530.dat
file-009495.dat file-008694.dat
file-003738.dat file-000496.dat
file-014322.dat file-001599.dat
file-013212.dat file-012948.dat
file-019455.dat file-019209.dat
file-004174.dat file-009231.dat
file-013907.dat file-000166.dat
file-006948.dat file-010117.dat
file-014665.dat file-004804.dat
file-010403.dat file-013995.dat
file-004620.dat file-000762.dat
file-016334.dat file-002053.dat
file-007022.dat file-007191.dat
file-010183.dat file-008766.dat
file-019115.dat file-015677.dat
file-012514.dat file-006626.dat
file-012567.dat file-015234.dat
file-003981.dat file-001375.dat
file-010980.dat file-012921.dat
file-005493.dat file-014613.dat
file-008867.dat file-006267.dat
file-018935.dat file-007998.dat
file-004332.dat file-003744.dat
file-018024.dat file-011437.dat
file-016611.dat file-014990.dat
file-009746.dat file-004792.dat
file-019254.dat file-001778.dat
file-014799.dat file-007419.dat
file-007518.dat file-011432.dat
file-015253.dat file-004208.dat
file-017944.dat file-009827.dat
file-014712.dat file-008382.dat
file-013500.dat file-011423.dat
file-004834.dat file-017380.dat
file-004334.dat file-017298.dat
file-018777.dat file-017130.dat
file-000280.dat file-000014.dat
file-003870.dat file-002990.dat
file-012392.dat file-016640.dat
file-014279.dat file-012289.dat
file-001865.dat file-000173.dat
file-009436.dat file-015649.dat
file-020085.dat file-011776.dat
file-012843.dat file-004472.dat
file-002295.dat file-001220.dat
file-011274.dat file-015016.dat
file-007331.dat file-011330.dat
file-018865.dat file-011697.dat
file-002420.dat file-008575.dat
file-012699.dat file-018751.dat
file-000425.dat file-002196.dat
file-003520.dat file-016841.dat
file-010713.dat file-006591.dat
file-009648.dat file-003673.dat
file-005069.dat file-005474.dat
file-017656.dat file-017102.dat
file-012404.dat file-004036.dat
file-007399.dat file-019286.dat
file-002467.dat file-010222.dat
file-019001.dat file-008432.dat
file-002814.dat file-002903.dat
file-002684.dat file-015333.dat
file-010311.dat file-019610.dat
file-016100.dat file-005703.dat
file-020077.dat file-005267.dat
file-012999.dat file-010389.dat
file-003870.dat file-004718.dat
file-013957.dat file-009637.dat
file-011705.dat file-001974.dat
file-018969.dat file-005368.dat
file-017816.dat file-018152.dat
file-009954.dat file-011931.dat
file-009456.dat file-001073.dat
file-005977.dat file-006617.dat
file-011862.dat file-019870.dat
file-007073.dat file-012641.dat
file-003653.dat file-007083.dat
file-016399.dat file-003209.dat
file-013958.dat file-012288.dat
file-016481.dat file-009022.dat
file-008708.dat file-007790.dat
file-010499.dat file-018741.dat
file-001155.dat file-011009.dat
file-001786.dat file-018701.dat
file-018372.dat file-018857.dat
file-001035.dat file-008452.dat
file-004254.dat file-002968.dat
file-015095.dat file-014777.dat
file-001025.dat file-009803.dat
file-002874.dat file-005634.dat
file-005820.dat file-000467.dat
file-015340.dat file-008639.dat
file-017183.dat file-008114.dat
file-004558.dat file-017031.dat
file-004765.dat file-008459.dat
file-012581.dat file-014043.dat
file-009035.dat file-004879.dat
file-018685.dat file-017065.dat
file-011869.dat file-010745.dat
file-003350.dat file-010796.dat
file-007846.dat file-014117.dat
file-001403.dat file-015538.dat
file-005790.dat file-005854.dat
file-006769.dat file-010641.dat
file-009178.dat file-014489.dat
file-012084.dat file-009525.dat
file-015013.dat file-013066.dat
file-008619.dat file-014649.dat
file-017437.dat file-000440.dat
file-015157.dat file-012029.dat
file-015457.dat file-000227.dat
file-007693.dat file-014171.dat
file-001204.dat file-010126.dat
file-014649.dat file-019853.dat
file-014373.dat file-004421.dat
file-001848.dat file-008063.dat
file-014190.dat file-014500.dat
file-000590.dat file-019661.dat
file-014119.dat file-007356.dat
file-000839.dat file-005456.dat
file-007575.dat file-005555.dat
file-005399.dat file-007829.dat
file-001986.dat file-007107.dat
file-003671.dat file-010600.dat
file-005539.dat file-015333.dat
file-011443.dat file-014716.dat
file-017904.dat file-011083.dat
file-006947.dat file-005188.dat
file-002127.dat file-015257.dat
file-010513.dat file-003171.dat
file-010047.dat file-006922.dat
file-013005.dat file-007235.dat
file-005965.dat file-013789.dat
file-019041.dat file-019317.dat
file-013774.dat file-013059.dat
file-006615.dat file-017239.dat
file-013284.dat file-016371.dat
file-007524.dat file-011663.dat
file-001662.dat file-009169.dat
file-008261.dat file-005361.dat
file-008596.dat file-008079.dat
file-015251.dat file-001480.dat
file-005498.dat file-019774.dat
file-001234.dat file-004703.dat
file-008462.dat file-016763.dat
file-017799.dat file-015051.dat
file-011247.dat file-018720.dat
file-011506.dat file-015812.dat
file-010177.dat file-017063.dat
file-012796.dat file-007314.dat
file-014501.dat file-009466.dat
file-012418.dat file-012508.dat
file-012254.dat file-002787.dat
file-017407.dat file-001230.dat
file-008382.dat file-011796.dat
file-018779.dat file-015155.dat
file-015092.dat file-011434.dat
file-014173.dat file-006865.dat
file-001758.dat file-012457.dat
file-017332.dat file-014061.dat
file-019843.dat file-004602.dat
file-005574.dat file-003095.dat
file-018605.dat file-005054.dat
file-005589.dat file-018178.dat
file-008491.dat file-005473.dat
file-016913.dat file-018267.dat
file-016605.dat file-007247.dat
file-003169.dat file-004252.dat
file-001510.dat file-012490.dat
file-017498.dat file-014452.dat
file-004762.dat file-010879.dat
file-006528.dat file-019340.dat
file-007957.dat file-001099.dat
file-019539.dat file-010028.dat
file-010873.dat file-012192.dat
file-017362.dat file-000914.dat
file-017542.dat file-007702.dat
file-002330.dat file-014046.dat
file-018162.dat file-016172.dat
file-001742.dat file-017129.dat
file-015576.dat file-015390.dat
file-001640.dat file-018580.dat
file-019509.dat file-010869.dat
file-000636.dat file-017679.dat
file-017663.dat file-004095.dat
file-017433.dat file-004155.dat
file-012850.dat file-011113.dat
file-009979.dat file-007837.dat
file-008234.dat file-011518.dat
file-013200.dat file-011949.dat
file-002028.dat file-015796.dat
file-006106.dat file-015015.dat
file-017532.dat file-003407.dat
file-013040.dat file-010080.dat
file-004068.dat file-018511.dat
file-015211.dat file-015489.dat
file-010075.dat file-010813.dat
file-005635.dat file-002920.dat
file-012585.dat file-000139.dat
file-017496.dat file-013455.dat
file-002385.dat file-006654.dat
file-009204.dat file-002352.dat
file-013802.dat file-016156.dat
file-013562.dat file-003353.dat
file-013763.dat file-013186.dat
file-016923.dat file-008443.dat
file-008828.dat file-017793.dat
file-007233.dat file-012081.dat
file-003815.dat file-009677.dat
file-019860.dat file-009791.dat
file-016780.dat file-018991.dat
file-014748.dat file-017953.dat
file-017787.dat file-005381.dat
file-011792.dat file-015583.dat
file-014675.dat file-019750.dat
file-008138.dat file-020015.dat
file-008739.dat file-008020.dat
file-019973.dat file-000792.dat
file-007537.dat file-007246.dat
file-013033.dat file-008796.dat
file-003401.dat file-018938.dat
file-002083.dat file-016503.dat
file-013141.dat file-013577.dat
file-003239.dat file-011635.dat
file-007407.dat file-007872.dat
file-010337.dat file-008744.dat
file-006899.dat file-017681.dat
file-014173.dat file-009311.dat
file-010209.dat file-002812.dat
file-011732.dat file-009913.dat
file-016889.dat file-008265.dat
file-004675.dat file-015640.dat
file-016978.dat file-019999.dat
file-019986.dat file-013748.dat
file-001506.dat file-010207.dat
file-005821.dat file-015474.dat
file-013146.dat file-015425.dat
file-018899.dat file-010603.dat
file-001987.dat file-001223.dat
file-001659.dat file-002952.dat
file-018383.dat file-002172.dat
file-004358.dat file-006508.dat
file-019658.dat file-015523.dat
file-005141.dat file-014570.dat
file-004032.dat file-015433.dat
file-009741.dat file-009195.dat
file-016578.dat file-000677.dat
